Key,english
buffDespairCureDisplayPositive01Desc,"You are feeling hopeful and buoyant.\n\nYou have:\n5% decreased stamina loss.\n5% decreased health loss from damage taken.\n10% critical hit resistance."
buffDespairCureDisplayPositive02Name,Enthusiastic
buffDespairCureDisplayPositive02Desc,"You feel enthusiastic and cheerful.\n\nYou have:\n10% decreased stamina loss.\n10% decreased health loss from damage taken.\n15% critical hit resistance."
buffDespairCureDisplayPositive03Name,Confident
buffDespairCureDisplayPositive03Desc,"You are brimming with confidence and energy.\n\nYou have:\n15% decreased stamina loss.\n15% decreased health loss from damage taken.\n20% critical hit resistance."
buffDespairCounterTooltip,""
buffDespairCounterName,"Despair"
buffDespairCounterDesc,"This is a measure of how much your environment is affecting your rate of despair.\n\nPositive numbers means despair is increasing.\n\nNegative numbers means your despair is decreasing."
buffDespairAOEName,Danger
buffDespairAOEDesc,"These zombies are getting a bit too close for comfort ... \n\nEliminate them, or get the hell out of there!"
buffDespairAOETooltip,"",,,,,,,Nearby zombies are affecting your mental health.
buffDespairFeralAOEName,Danger Close
buffDespairFeralAOEDesc,"These [ffff00]zombies[-] are getting tougher \n\nYou need to be careful ..."
buffDespairFeralAOETooltip,"",,,,,,,,,Tougher zombies nearby are making your mental health worse.
buffDespairRadiatedAOEName,Grave Danger
buffDespairRadiatedAOEDesc,"What the hell!? These [00ff00]zombies[-] can regenerate?! \n\nMight need some specialized gear for these ..."
buffDespairRadiatedAOETooltip,"",,,,,,,,,,Nearby Radiated zombies are really affecting your ability to think straight ...
buffDespairMutatedAOEName,Get the hell away from me!
buffDespairMutatedAOEDesc,"What the actual F%&*?!! These [f5c71a]zombies[-] are even worse than the greenies!\n\nIf you don't have blessed metal, you'd better run ..."
buffDespairMutatedAOETooltip,"",,,,,,,,Nearby Mutated zombies are making you question your survival chances ...
buffLithiumBlockerName,"Lithium"
buffStJohnsWortBlockerName,"St. John's Wort"
buffLithiumBlockerTooltip,"The treatment from Lithium and St. John's Wort must expire before the drug can be taken again."
buffLithiumBlockerDesc,"Lithim and St. John's Wort are not candy!\n\nIt makes you thirsty, and you'll need to wait until the medication wears off before you can use it again."
buff_NoVehicle,Vehicle Subemerged
buff_NoVehicleDesc,Internal combustion engines don't work underwater!!\n\nYou'll have to put your vehicle back on dry land before it can be driven again.
buffResurrectName,Double Tap!
buffResurrectDesc,"You might wanna double check that these guys are actually dead ...\n\nDuring horde night, [FFC800]most[-] zombies have a 10% chance to respawn. Kill them with [CC5500]fire[-] damage or [CC5500]explosives[-] to ensure they stay dead."
buffCampfireAOEEffectDesc,"You are warmed by the fire.\n\nCold Resist +15\n\nThis warming effect, combined with shelter and light, can slowly reduce your despair."
buffGoodCompanyFromTraderName,Humanity
buffGoodCompanyFromTraderDesc,Your spirits are raised by being around other humans.
buffPoisonedDesc,"You're envenomed. Your attributes are lowered by one, and you are slowly taking damage.\n\nYou'll want some antivenom, and fast."
buffPoisonedName,Envenomed!
buffPoisonedTooltip,You've been envenomed!
buffDespairMedBlockerName,"Stop!"
buffDespairMedBlockerDesc,"You are currently warm, sheltered, and well lit. Are you sure you need despair medication?"
buffDespairMedBlockerTooltip,"You are warm, sheltered and well lit. Are you sure you need despair meds?"

buffHelmetPurifierActive,Filter status:
buffHelmetPurifierActiveDesc,"Your Helmet Purifier is currently working, so you can safely drink from any water source.\n\nThe filter has limited uses, and will need to be replaced eventually."
buffHelmetPurifierReloadSuccess,"Reloading your Helmet Water Purifer."
modArmorWaterPurifier,Water Filtration Unit
modArmorWaterPurifierDesc,Requires a limited-use filter to allow safe consumption of murky water.
resourceHelmetWaterFilterDesc,A home-made component used to recharge a Water Filtration Unit.\n\nDoesn't always work on the first sip of water ...
resourceHelmetWaterFilter,Portable Water Filter
resourceNiCdBattery,"9v D-cell Battery"
resourceNiCdBatteryDesc,"A limited-use battery, required to operate various portable light sources."
buffHelmetLightActive,Battery Status
buffHelmetLightActiveDesc,"Your Helmet Light is currently powered.\n\nThe battery is being depleted, and when empty, requires replacing."
buffWeaponLightActive,Battery Status
buffWeaponLightActiveDesc,"Your Weapon Flashlight is currently powered.\n\nThe battery is being depleted, and when empty, requires replacing."
buffLaserLightActive,Battery Status
buffLaserLightActiveDesc,"Your Laser Sight is currently powered.\n\nThe battery is being depleted, and when empty, requires replacing."
buffFlashLightActive,Battery Status
buffFlashLightActiveDesc,"Your flashlight is currently powered.\n\nThe battery is being depleted, and when empty, requires replacing."
buffNVGActive,Battery Status
buffNVGActiveDesc,"Your Night Vision Goggles are currently powered.\n\nThe battery is being depleted, and when empty, requires replacing."
buffHandTorchActive,Fuel Status
buffHandTorchActiveDesc,"Your torch is currently fuelled.\n\nThe fuel is being depleted, and when used up, the torch will extinguish.\n\nRefuel the torch by having 10 gasoline in your inventory."
buffBurningShaftActive,Fuel Status
buffBurningShaftActiveDesc,"Your burning shaft mod is currently fuelled.\n\nThe fuel is being depleted, and when used up, the flame will extinguish.\n\nRefuel the mod by having 10 gasoline in your inventory."
buffInjuryStarvationName,Starving!
buffInjuryStarvationDesc,"You are starving! Find something to eat, quick!!"
buffInjuryStarvationTooltip,"You are starving! Find something to eat, quick!!"
placedLitTorch1,Wall Torch
placedLitTorch3Harvest,Spent Torch
placedLitTorch3HarvestDesc,"This torch is spent and needs refuelling"
placedUnlitLantern,Spent Lantern
placedUnlitLanternDecs,"This lantern's battery is depleted and needs replacing."
spentWallTorch,Spent Torch
spentWallTorchDesc,"A spent torch. Can be reused to craft another wall torch"
meleeToolTorchDesc,This torch can be used as a portable light source or weapon with a chance to catch enemies on fire.\n\nCan also be used to craft a placeable wall torch. Requires gas to ignite.
cntMedicineCabinetPlayer,Player Medical Cabinet
modArmorCigarDesc,Look intimidating and get a better deal from traders.

perkBarBrawling5AdrenalineHealingDesc,Drinking moonshine no longer blurs your vision.
perkBarBrawling5AdrenalineHealingLongDesc,Liquored Up: Drinking Grandpa's Moonshine no longer blurs your vision.

statCureDespair,Treat Despair
drugLithium,Lithium
drugLithiumDesc,"Lithium is the most effective treatment for despair, however, it has it's downside.\n\nEach time you use this drug, you develop a tolerance to it, reducing its efficacy over time.\n\n25% [CC5500]MAXIMUM[-] cure. At max tolerance, reduced to 15%"
drugStJohnsWort,St. John's Wort
drugStJohnsWortDesc,"St. John's wort is a herbal treatment, and is effective at treating despair, however ...\n\nEach time you use this drug, your resistance to it's effects increases, reducing its efficacy over time.\n\n10% [CC5500]MAXIMUM[-] cure. At max tolerance, reduced to 5%"
DespairTip,"You are overwhelmed by how hopeless the situation appears. You can combat this by staying in a well-lit area, staying warm, and staying dry.\n\nProlonged periods of being wet, in darkness, or cold temperatures will increase the rate at which your despair grows. Injuries sustained, along with hunger and thirst also have an adverse effect, as does being in close proximity to zombies.\n\nThere is medication available to reduce your symptoms, and consuming certain food or drink may help too.\n\nTreatment from consumables:\n\nCooked Canned Food: [FFC800]0.1%[-]\nBoiled egg & Charred meat: [FFC800]0.20%[-]\nTier 1 food: [FFC800]0.25%[-]\nGoldenrod & Red tea: [FFC800]0.5%[-]\nBacon & Eggs and Coffee: [FFC800]1%[-]\nTier 2 food, Blackstrap coffee,smoothies, mineral water & beer: [FFC800]2%[-]\nTier 3 food: [FFC800]3%[-]\nTier 4 food: [FFC800]5%[-]"
DespairTip_title,Despair

foodCanBeefcooked,Cooked Beef Ration
foodCanBeefcookedDesc,"It's not from your favorite steakhouse but this can of cooked beef will fill you up, and not be as likely to give you the shits..."
foodCanCarrots,Can of Carrots
foodCanCarrotscooked,Cooked carrots
foodCanCarrotscookedDesc,"Convenient, budget-friendly, versatile...\n\n and cooked!"
foodCanCarrotsDesc,"Convenient, budget-friendly and versatile, but are they as nutritious as fresh? Who cares...\n\nCook this food in a campfire to reduce the chance of illness from eating it."
foodCanChickencooked,Cooked Chicken Ration
foodCanChickencookedDesc,"Cooked chicken, straight from the can. Still tastes like crap."
foodCanChickenDesc,"Tastes like chicken. Well, really old synthetic chicken with dirt on it.\n\nCook this food in a campfire to reduce the chance of illness from eating it."
foodCanChilicooked,Cooked Chili
foodCanChilicookedDesc,"Cooked Chili. Fiery finish, but less chance of a nasty finish..."
foodCanChiliDesc,"Stash Chili goes down smooth but watch out for the fiery finish Paco.\n\nCook this food in a campfire to reduce the chance of illness from eating it."
foodCanLambcooked,Cooked Lamb Rations
foodCanLambcookedDesc,"Cooked lamb rations. Taste like lamb, texture like shoe leather."
foodCanMisocooked,Cooked Miso soup
foodCanMisocookedDesc,"Hot miso soup. Not bad at all."
foodCanMisoDesc,"It's time to soup it up with some Miso soup mmm mmm good.\n\nCook this food in a campfire to reduce the chance of illness from eating it."
foodCanPastacooked,Cooked pasta sauce
foodCanPastacookedDesc,"Cooked Italian sauce. If only we had some pasta to go with it..."
foodCanPastaDesc,"Now that's Italian! Che figata!\n\nCook this food in a campfire to reduce the chance of illness from eating it."
foodCanPearscooked,Cooked pears
foodCanPearscookedDesc,"Warm pears straight from the can. Might be weird to some, but it's less likely to make you ill..."
foodCanPearsDesc,"Maintain that perfect pear shape by eating canned pears.\n\nCook this food in a campfire to reduce the chance of illness from eating it."
foodCanPeascooked,Cooked peas
foodCanPeascookedDesc,"One of your 5-a-day."
foodCanPeasDesc,"You and your can of peas will be like two peas in a pod and you'll get your daily vegetables.\n\nCook this food in a campfire to reduce the chance of illness from eating it."
foodCanSalmoncooked,Cooked salmon
foodCanSalmoncookedDesc,"A healthy can of cooked salmon."
foodCanSalmonDesc,"Enjoy this healthy can of salmon.\n\nCook this food in a campfire to reduce the chance of illness from eating it."
foodCanShamcooked,Cooked Sham
foodCanShamcookedDesc,"A can of high quality Shamway ham, but seriously - have you seen what they make this with?"
foodCanShamDesc,"A can of high quality Shamway ham the number 1 maker of meat-like products. The lunch of champions.\n\nCrafted in lots of 5.\nCook this food in a campfire to reduce the chance of illness from eating it."
foodCanSoupcooked,Cooked chicken soup
foodCanSoupcookedDesc,"Hot chicken soup. Tasty."
foodCanSoupDesc,"Chicken soup can keep the body and the soul together.\n\nCook this food in a campfire to reduce the chance of illness from eating it."
foodCanStockcooked,Cooked stock
foodCanStockcookedDesc,"It's not much, but it's better than starving, right?"
foodCanStockDesc,"Stock up on stock or you could eat it now.\n\nCook this food in a campfire to reduce the chance of illness from eating it."
foodCanTunacooked,Cooked tuna
foodCanTunacookedDesc,"A can of cooked tuna. Reminds you of a simpler time."
foodCanTunaDesc,"A can of tuna or better known as the chicken of the wasteland.\n\nCook this food in a campfire to reduce the chance of illness from eating it."
foodChickenMiso,Chicken Miso
foodChickenMisoDesc,"Chicken pieces, miso, eggs & mushrooms. All that's missing is the ramen..."
foodChickenStew,Chicken Stew
foodChickenStewDesc,"A much better use for chicken rations. Delicious and filling."
foodHoney,Honeycomb
foodScrambledEggs,Scrambled Eggs
foodScrambledEggsDesc,"An apocalyptic breakfast that can be eaten any time.\n\nJust don't question what laid the eggs..."
foodShepardsPie,Shepherd's Pie
foodShepardsPieDesc,"Shepherd's Pie sure is tasty and super filling."
foodShepardsPieSchematic,Shepherd's Pie Recipe
foodTrampStew,Tramp Stew
foodTrampStewDesc,"A meal fit for a ... well, a tramp.\n\nGood use for cat food though."
foodVagabondStew,Vagabond Stew
foodVagabondStewDesc,"No dogs anymore, so someone might as well eat it.\n\nMakes dog food just about edible."
foodGrilledCarrot,Grilled Carrot
foodGrilledCarrotDesc,"A grilled carrot. Not the fanciest of foods, but it does taste good."
foodGrilledOnion,Grilled Onion
foodGrilledOnionDesc,A much more palatable way to eat onions.
foodMashedTurnip,Mashed Turnip
foodMashedTurnipDesc,Easier on your teeth than eating it raw ...
drinkYuccaJuiceSmoothieDesc,"This smoothie helps you boost stamina regeneration, and helps keep you cool."
drinkJarYuccaJuice,Yucca Juice
drinkJarYuccaJuiceDesc,"Yucca juice provides excellent hydration, and will help keep you cool."

foodRoastedRabbit,Roasted Rabbit
foodRoastedRabbitDesc,You caught one? Now cook it! Delicious and filling.
foodRoastChicken,Roast Chicken
foodRoastChickenDesc,A whole roast chicken. Hope you plucked it first ...

armorNerdOutfitDesc,Heavy Armor\nYour lack of fashion sense gives you the ability to focus on your inventions. Adds a chance to gain two crafting skill points when reading INDIVIDUAL research papers.\n\nFull Set Bonus: Tools and Weapons degrade slower.

researchPaperBlank,Research Paper
researchPaperBlankDesc,These are used to increase your crafting skill.\n\nAny crafting skill can be increased once you have enough Research Papers in your inventory.
researchPaperBlank100,100 Research
researchPaperBlank100Desc,Read this to increase your crafting skill by 100.
researchPaperBlank500,500 Research
researchPaperBlank500Desc,Read this to increase your crafting skill by 500.
researchPaperBlank1000,1k Research
researchPaperBlank1000Desc,Read this to increase your crafting skill by 1000.
researchPaperBlank5000,5k Research
researchPaperBlank5000Desc,Read this to increase your crafting skill by 5000.
researchPaperBlank10000,10k Research
researchPaperBlank10000Desc,"Read this to increase your crafting skill by 10,000."
researchPaperBlank100000,100k Research
researchPaperBlank100000Desc,"Read this to increase your crafting skill by 100,000."

craftingArmorDesc,Increase [DECEA3]Armour Crafting[-] by reading research papers.\nWhen enough research has been read, [DECEA3]purchase[-] your skills.
craftingBladesDesc,Increase [DECEA3]Blades Crafting[-] by reading research papers.\nWhen enough research has been read, [DECEA3]purchase[-] your skills.
craftingBowsDesc,Increase [DECEA3]Bows Crafting[-] by reading research papers.\nWhen enough research has been read, [DECEA3]purchase[-] your skills.
craftingClubsDesc,Increase [DECEA3]Club Crafting[-] by reading research papers.\nWhen enough research has been read, [DECEA3]purchase[-] your skills.
craftingElectricianDesc,Increase [DECEA3]Electrical Crafting[-] by reading research papers.\nWhen enough research has been read, [DECEA3]purchase[-] your skills.
craftingExplosivesDesc,Increase [DECEA3]Explosive Crafting[-] by reading research papers.\nWhen enough research has been read, [DECEA3]purchase[-] your skills.
craftingFoodDesc,Increase [DECEA3]Food Crafting[-] by reading research papers.\nWhen enough research has been read, [DECEA3]purchase[-] your skills.
craftingHandgunsDesc,Increase [DECEA3]Handgun Crafting[-] by reading research papers.\nWhen enough research has been read, [DECEA3]purchase[-] your skills.
craftingHarvestingToolsDesc,Increase [DECEA3]Harvesting Tool Crafting[-] by reading research papers.\nWhen enough research has been read, [DECEA3]purchase[-] your skills.
craftingKnucklesDesc,Increase [DECEA3]Knuckle Crafting[-] by reading research papers.\nWhen enough research has been read, [DECEA3]purchase[-] your skills.
craftingMachineGunsDesc,Increase [DECEA3]Machine Gun Crafting[-] by reading research papers.\nWhen enough research has been read, [DECEA3]purchase[-] your skills.
craftingMedicalDesc,Increase [DECEA3]Medical Crafting[-] by reading research papers.\nWhen enough research has been read, [DECEA3]purchase[-] your skills.
craftingRepairToolsDesc,Increase [DECEA3]Repair Tool Crafting[-] by reading research papers.\nWhen enough research has been read, [DECEA3]purchase[-] your skills.
craftingRiflesDesc,Increase [DECEA3]Rifle Crafting[-] by reading research papers.\nWhen enough research has been read, [DECEA3]purchase[-] your skills.
craftingRoboticsDesc,Increase [DECEA3]Robotics Crafting[-] by reading research papers.\nWhen enough research has been read, [DECEA3]purchase[-] your skills.
craftingSalvageToolsDesc,Increase [DECEA3]Salvage Tool Crafting[-] by reading research papers.\nWhen enough research has been read, [DECEA3]purchase[-] your skills.
craftingSeedsDesc,Increase [DECEA3]Seed Crafting[-] by reading research papers.\nWhen enough research has been read, [DECEA3]purchase[-] your skills.
craftingShotgunsDesc,Increase [DECEA3]Shotgun Crafting[-] by reading research papers.\nWhen enough research has been read, [DECEA3]purchase[-] your skills.
craftingSledgehammersDesc,Increase [DECEA3]Sledgehammer Crafting[-] by reading research papers.\nWhen enough research has been read, [DECEA3]purchase[-] your skills.
craftingSpearsDesc,Increase [DECEA3]Spear Crafting[-] by reading research papers.\nWhen enough research has been read, [DECEA3]purchase[-] your skills.
craftingTrapsDesc,Increase [DECEA3]Trap Crafting[-] by reading research papers.\nWhen enough research has been read, [DECEA3]purchase[-] your skills.
craftingVehiclesDesc,Increase [DECEA3]Vehicle Crafting[-] by reading research papers.\nWhen enough research has been read, [DECEA3]purchase[-] your skills.
craftingWorkstationsDesc,Increase [DECEA3]Workstation Crafting[-] by reading research papers.\nWhen enough research has been read, [DECEA3]purchase[-] your skills.

perkLightArmorDesc,Specialize in light armor to reduce degradation use.
perkMediumArmorDesc,"Specialize in medium armor to reduce degradation, stamina, and movement penalties."
perkHeavyArmorDesc,"Specialize in shielding yourself with iron and steel, becoming an unstoppable behemoth on the battlefield."
perkMasterChefDesc,Learn how to become a Master Chef! Decrease cooking time and ingredients needed for your favorite recipes.
perkLivingOffTheLandDesc,Specialize in harvesting more crops using your hands or a tool.
perkAdvancedEngineeringDesc,"Engineer advanced items faster with reduced costs at workstations."
perkTurretsDesc,You are fascinated with robotics. Learn to use and deploy robotic weapons.
perkGreaseMonkeyDesc,Learn to build vehicles cheaper from junk in the wasteland! Vehicles can be assembled without this perk.

materialMresourceWoodScraps,Building

playerPiano,Piano
playerPianoDesc,"Place this block and interact with it.\n\nGo on - try it. You know you want to ..."
playerRadio,Ham Radio
playerRadioDesc,"Place this block and interact with it.\n\nGo on - try it. You know you want to ..."

resourceFertilizer,Fertilizer
FertilizerDesc,"Fertilizer is made in a Chemistry Station or Cement Mixer. Use a hoe to fertilize the land.\n\nYou must have at least 10 fertilizer in your inventory to fertilize terrain with a hoe."

resourceSawBlade,Saw Blade
resourceSawBladeDesc,A crucial compenent for constructing a sawmill.

dewCollectorEmpty,{0} Open {1} ([DECEA3]Empty[-])
dewCollectorHasDirtyWater,{0} Open {1} ([228B22]Collect[-])
dewCollectorHasWater,{0} Open {1} ([228B22]Collect[-])

meleeToolFarmT2IronHoe,Garden Hoe
meleeToolFarmT2IronHoeDesc,"Required for fertilizing terrain, and farmplots found in the world.\n\nNot required for crafted farm plots.\n\nRequires you to have at least 10 fertilizer in your inventory.\nUse your secondary action[FFB400][action:local:Secondary][-] to hoe the ground and use the fertilizer."
meleeToolFarmT2IronHoeSchematic,Garden Hoe Schematic

modGunBrassCatcher,Brass Catcher
modGunBrassCatcherDesc,"Will return 50% of bullet casings when installed in 9mm, 7.62mm, & .44 calibre weapons, but makes them a little slower to reload."

modGunSoundSuppressorSilencer,Suppressor Mod
modGunSoundSuppressorSilencerSchematic,Suppressor Mod Schematic
perkUrbanCombatCompleteDesc,Suppressors have no damage penalty.
perkUrbanCombatCompleteLongDesc,The Silencer: Firearms with suppressors have no damage penalty.

barbedWireSpindleVariantHelper
barbedWireSpindleVariantHelperBlock
toolAmmoPress,Ammunition Press
toolAmmoPressDesc,This tool is required to assemble and dismantle firearm rounds at a workbench.
playerSawmill,Sawmill
playerTableSaw,Tablesaw
playerWoodBurningStove,Wood Burning Stove

resourceBranch,Branch
resourceBranchDesc,"A small stout branch. Used for stone tools and arrows.\n\nCan also be used as fuel."

resourceWoodDesc,"A piece of wood. Great for building tools and constructing wood frames for building.\n\nPlace logs like a block and chop with an axe, or use a sawmill for a higher yield."
resourceWoodScraps,Wood scraps
resourceWoodScrapsDesc,"Small fragments of wood.\n\nCan be used for fuel and basic building blocks, but not much else."
resourceCropLavender,Lavender Flower
resourceCropLavenderDesc,"Lavender has medicinal properties. Use it to make lavender oil in a campfire.\n\nLavender oil can help treat your despair"
drugLavenderOil,Lavender Oil
drugLavenderOilDesc,"A few drops of lavender on a cloth fragment can provide a moment of relaxation when you’re on the go.\n\nApply it like a bandage - treats 3% Despair."
plantedLavender1,Lavender (Seed)
plantedLavender2,Lavender (Growing)
plantedLavender3HarvestPlayer,Lavender Flower
plantedLavender3HarvestDesc,Lavender Flower
antivenom,"Anti-venom"
antivenomDesc,"Use this to instantly remove the effects of venom.\n\nCan be crafted at the campfire, in a cooking pot, or use a beaker to save on ingredients."
venomDesc,"Key ingredient for antivenom."

tableSawDesc,"A workstation for turning logs into wood planks more quickly and effeciently."
tablesawTip,"The Tablesaw unlocks the ability to turn wood logs into wood more quickly & effeciently. Inside your land claim area all workstations can be picked up by holding ''E'' and selecting ''TAKE'' from the radial menu."
tablesawTip_title,Tablesaw
workstationsT1-1,Tier 1: Beehive & Chicken Coop
workstationsT2-1,Tier 2: Workbench & Sawmill

ttItemNeedsRepair,"This item is knackered and needs fixing"
ttRepairBeforePickup,"It's knackered and needs repairing before picking it up."

xuiRemoveModsFirst,Remove installed mods before combining.

